tag_no,tag_ko_name,tag_en_name
1,혼자먹기 좋은,alone
2,쓴,bitter
3,싱거운,bland
4,버터맛이 나는,buttery
5,텁텁한,chalky
6,쫄깃한,chewy
7,담백한,clean/plain
8,바삭한,crispy
9,"마른, 퍽퍽한",dry
10,술 안주,eat with alcohol
11,발효된,fermented
12,풍미가 좋은,flavorful
13,신선한,fresh
14,과일 맛이 나는,fruity
15,마늘 맛이 나는,garlicky
16,해장,good for hangover
17,건강에 좋은,good for healthy
18,든든한,have enough
19,고기 맛이 강한,meaty
20,야식,midnight snack
21,순한,mild
22,촉촉한,moist
23,기름진,oily/greasy
24,시원한,refresh/cold
25,짠,salty
26,간식,snack
27,신,sour
28,매운,spicy
29,끈적한,sticky
30,속이 꽉 찬,stuffed
31,달달한,sweet
32,물이 많은,watery
