ingre_no,ingre_name,ingre_en_name,ingre_allergy
1,가는파,NULL,0
2,가다랑이포,NULL,0
3,가래떡,NULL,0
4,가리비,NULL,1
5,가쓰오부시,NULL,0
6,가쓰오브시,NULL,0
7,가쓰오브시국물,NULL,0
8,가오리,NULL,0
9,가자미,NULL,0
10,가재새우,NULL,1
11,가죽나물,NULL,0
12,가지,NULL,0
13,가쯔오브시,NULL,0
14,간마늘,NULL,0
15,간생강,NULL,0
16,간수,NULL,0
17,간장,NULL,0
18,갈비,NULL,0
19,갈치,NULL,0
20,감,NULL,0
21,감동젓,NULL,0
22,감자,NULL,0
23,감자전분,NULL,0
24,갑오징어,NULL,1
25,갓,NULL,0
26,갓김치,NULL,0
27,강력분,NULL,0
28,개고기,NULL,0
29,건대추,NULL,0
30,건미역,NULL,0
31,건블루베리,NULL,0
32,건새우,NULL,1
33,건새우가루,NULL,1
34,건포도,NULL,0
35,검은깨,NULL,0
36,검은껍질홍합,NULL,1
37,검은콩,NULL,0
38,게,NULL,1
39,게맛살,NULL,1
40,게살,NULL,1
41,겨자,NULL,0
42,겨자가루,NULL,0
43,겨자잎,NULL,0
44,견과류,NULL,1
45,계란,NULL,1
46,계란노른자,NULL,1
47,계란후라이,NULL,1
48,계란흰자,NULL,1
49,계핏가루,NULL,0
50,고구마,NULL,0
51,고구마잎,NULL,0
52,고구마줄기,NULL,0
53,"고기 소스",NULL,0
54,고기산적,NULL,0
55,고들빼기,NULL,0
56,고등어,NULL,1
57,고사리,NULL,0
58,고사리나물,NULL,0
59,고수잎,NULL,0
60,고운고춧가루,NULL,0
61,고운소금,NULL,0
62,고추,NULL,0
63,고추기름,NULL,0
64,고추냉이,NULL,0
65,고추씨,NULL,0
66,고추장,NULL,0
67,고춧가루,NULL,0
68,고춧기름,NULL,0
69,고춧잎,NULL,0
70,곤약,NULL,0
71,골뱅이,NULL,0
72,골뱅이통조림,NULL,0
73,곱창,NULL,0
74,곶감,NULL,0
75,과일통조림,NULL,0
76,광어,NULL,0
77,구운김,NULL,0
78,국간장,NULL,0
79,국멸치,NULL,0
80,"국물용 다시마",NULL,0
81,"국물용 멸치",NULL,0
82,국수,NULL,0
83,굴,NULL,1
84,굴소스,NULL,0
85,굵은고춧가루,NULL,0
86,굵은소금,NULL,0
87,굵은파,NULL,0
88,귤,NULL,0
89,"그라나 빠다노",NULL,0
90,그린올리브,NULL,0
91,근대,NULL,0
92,근대잎,NULL,0
93,기름,NULL,0
94,김,NULL,0
95,김가루,NULL,0
96,김밥용김,NULL,0
97,김치,NULL,0
98,김치잎,NULL,0
99,김칫국물,NULL,0
100,김칫잎,NULL,0
101,까나리액젓,NULL,0
102,깐밤,NULL,0
103,깨,NULL,0
104,깨소금,NULL,0
105,깨소스,NULL,0
106,깻잎,NULL,0
107,껍질콩,NULL,0
108,꼬치,NULL,0
109,꼴뚜기,NULL,0
110,꽁치,NULL,0
111,꽁치통조림,NULL,0
112,꽃게,NULL,0
113,꽃빵,NULL,0
114,꽃상추,NULL,0
115,꽃소금,NULL,0
116,꽈리고추,NULL,0
117,꿀,NULL,0
