food_no,food_class_no,food_name,food_dsc
1,5,가래떡,가래떡 : 멥쌀가루를 반죽하여 찐다음에 둥글려서 길고 가늘게 만든 흰떡
2,16,가오리찜,가오리찜 : 말려서 썰어 뼈를 빼낸 가오리를 양념장에 재운 후 통깨와 고명을 얹어 찜통에 찐 음식
3,16,가오리콩나물찜,가오리찜 : 말려서 썰어 뼈를 빼낸 가오리를 양념장에 재운 후 통깨와 고명을 얹어 찜통에 찐 음식
4,17,가자미구이,가자미구이 : 바다 밑바닥에 붙어살며 몸이 납작한 가자미는 살이 부드럽고 식감이 쫄깃하며 맛이 담백하다.
5,27,가자미식해,"가자미식해 : 가자미에 소금, 좁쌀밥, 고춧가루 등을 넣어 삭힌 함경도 지방의 향토음식"
6,26,가자미전,"가자미전 : 가자미에 소금, 후춧가루로 밑간을 한 후, 밀가루와 달걀옷을 입혀 팬에 구워낸 전이다."
7,19,가자미조림,가자미조림 : 손질한 가자미에 양념장을 얹어 무와 함께 담백하게 조린 음식
8,24,가죽나물무침,가죽나물 : 참죽 새순 잎의 줄기를 꺽어 데쳐 햇볕에 말린 후 튀김기름에 살짝 볶고 갖은 양념을 한 나물
9,23,가지나물,가지나물 : 가지를 찜통에 찐 후에 가늘게 찢어 갖은 양념에 무쳐 먹는 나물
10,18,가지볶음,"가지볶음 : 달구어진 팬에 기름을 두르고, 소금에 살짝 절인 가지와 파, 다진 마늘, 간장 양념을 함께 넣어 볶은 반찬이다."
11,26,가지전,가지전 : 껍질을 벗겨 어슷하게 썬 가지에 소금 간을 하고 밀가루와 달걀물을 입혀 식용유를 두른 팬에 지진 것이다.
12,27,간장게장,간장게장 : 손질한 꽃게에 달여 식힌 양념간장을 부어 담근 한국 고유의 젓갈
13,29,간장마늘쫑장아찌,마늘종장아찌 : 5~6월 햇 마늘이 나오기 시작하면서 제철인 마늘종을 소금에 살짝 절였다가 달인 간장에 담가 입맛 잃은 여름에 먹는 장아찌
14,17,간장양념닭다리구이,간장양념닭구이 : 닭고기를 저며 소금을 뿌리고 간장이나 고추장 등으로 양념을 하여 구운 것
15,9,간장양념치킨,간장양념치킨 : 적당한 크기로 자른 닭고기를 밑간하여 식용유에 튀겨 간장이나 고추장 등으로 만든 양념에 버무린 음식이다.
16,16,간장찜닭,안동찜닭 : 경상북도 안동에서 유래한 음식으로 삶은 닭에 소스 온갖 채소와 양념을 섞어 졸인 요리
17,24,간재미회무침,"간재미회무침 : 얇게 저며 썬 간재미를 막걸리에 담가 주물러 물기를 뺀 다음 당근, 양파, 풋고추와 함께 초고추장(고추장, 식초, 다진 마늘, 설탕, 깨소금)으로 버무린 것"
18,4,간짜장,"간짜장 : 짜장면의 한 종류로 기름에 볶은 춘장에 돼지고기, 야채 등을 넣고 한 번 더 볶은 뒤, 삶은 국수와 비벼 먹는 한국식 중화요리"
19,13,갈낙탕,갈낙탕 : 소갈비와 낙지를 넣어 끓인 탕 요리로 전라남도 영암군의 향토음식
20,13,갈비탕,갈비탕 : 쇠갈비로 만든 탕
21,17,갈치구이,갈치구이 : 갈치를 토막 내 팬이나 석쇠에 구워 먹는 요리
22,19,갈치조림,"갈치조림 : 토막 낸 갈치에 감자, 무 등을 넣고 고추장을 풀어 매콤하게 조린 요리"
23,15,갈치찌개,"갈치찌개 : 토막 낸 갈치를 애호박과 함께 끓이다 고춧가루, 다진 마늘, 소금 등을 넣어 끓여낸 찌개 요리"
24,17,감자구이,"감자구이 : 감자를 껍질째 혹은 껍질을 벗겨 구운 감자요리, 치즈나 케첩과 같은 소스를 뿌려먹기도 한다."
25,13,감자국,감자국 : 먹기 좋은 크기로 썬 감자에 장국을 넣어 끓인 국 요리. 감자에 장국을 넣어 끓인 국으로 맛이 구수하면서 부드러워 과거부터 서민들이 즐겨 먹었던 음식이다.
26,13,감자된장국,"된장국 : 된장을 푼 국물에 고기나 어패류, 채소(감자) 등을 넣고 끓인 국이다."
27,18,감자볶음,"감자볶음 : 채 썬 감자와 양파를 식용유를 두른 팬에 볶다가 어슷하게 썬 파, 간장, 다진 마늘로 양념하여 볶은 것으로 설탕을 넣기도 한다."
28,22,감자샐러드,감자샐러드 : 감자로 만든 샐러드 요리
29,26,감자전,감자전 : 감자건더기와 앙금에 소금을 넣어 반죽하고 번철에 지진 전
30,19,감자조림,감자조림 : 감자를 썰어 기름에 살짝 볶은 다음 간장과 설탕을 넣어 조린 구수하고 달콤한 음식이다.
31,18,감자채소볶음,"감자볶음 : 채 썬 감자와 양파를 식용유를 두른 팬에 볶다가 어슷하게 썬 파, 간장, 다진 마늘로 양념하여 볶은 것으로 설탕을 넣기도 한다."
32,6,감자크로켓,크로켓 : 재료를 잘게 썰거나 으깨 달걀이나 소스를 넣고 빚은 뒤 달걀 푼 것과 빵가루를 묻혀 기름에 튀겨 낸 서양음식
33,15,감자탕,"감자탕 : 돼지 등뼈와 감자, 우거지, 갈은 들깨, 파, 마늘 따위의 양념을 넣어 진하고 맵게 끓인 탕"
34,20,감자튀김,"감자튀김 : 감자를 잘라 기름에 튀긴 음식으로 소금, 케첩, 마요네즈, 그레이비소스 등을 곁들여 먹는다."
