id,food_no,ingre_no
1,1,3
2,1,448
3,1,584
4,1,792
5,1,797
6,2,8
7,2,83
8,2,107
9,2,236
10,2,369
11,2,396
12,2,596
13,2,935
14,2,980
15,2,1038
16,2,1166
17,3,880
18,3,584
19,3,281
20,3,291
21,3,936
22,3,76
23,3,318
24,3,396
25,3,484
26,3,563
27,3,743
28,3,1038
29,3,1080
30,3,306
31,3,424
32,3,1086
33,3,8
34,3,366
35,3,369
36,3,1157
37,3,398
38,3,935
39,3,16
40,3,83
41,3,270
42,3,596
43,3,894
44,3,1166
45,4,405
46,4,9
47,4,789
48,4,1037
49,4,1100
50,4,596
51,4,880
52,4,448
53,4,823
54,4,1166
55,4,1084
56,4,1006
57,5,9
58,5,83
59,5,194
60,5,196
61,5,368
62,5,383
63,5,890
64,5,596
65,6,9
66,6,406
67,6,668
68,7,880
69,7,395
70,7,584
71,7,936
72,7,76
73,7,318
74,7,383
75,7,743
76,7,1080
77,7,338
78,7,9
79,7,16
80,7,83
81,7,596
82,7,894
83,7,1166
84,8,10
85,8,82
86,8,116
87,8,194
88,8,236
89,8,340
90,8,584
91,8,935
92,8,1073
93,9,584
94,9,936
95,9,11
96,9,76
97,9,226
98,9,318
99,9,743
100,9,1080
101,9,280
102,9,935
103,9,16
104,9,83
105,9,596
106,9,894
107,10,11
108,10,16
109,10,76
110,10,83
111,10,114
112,10,194
113,10,236
114,10,584
115,10,743
116,10,935
117,10,1073
118,11,11
119,11,16
120,11,60
121,11,83
122,11,138
123,11,192
124,11,194
125,11,332
126,11,406
127,11,668
128,11,723
129,11,935
130,12,52
131,12,79
132,12,235
133,12,338
134,12,366
135,12,514
136,12,522
137,12,604
138,12,16
139,12,743
140,12,1076
141,12,1151
142,13,76
143,13,187
144,13,235
145,13,236
146,13,318
147,13,320
148,13,328
149,13,329
150,13,392
151,13,563
152,13,584
153,13,743
154,13,897
155,13,919
156,13,16
157,13,596
158,13,980
159,14,194
160,14,219
161,14,329
162,14,564
163,14,584
164,14,743
165,14,980
166,14,1166
167,14,1089
168,15,154
169,15,213
170,15,668
171,15,880
172,15,919
173,16,16
174,16,23
175,16,194
176,16,211
177,16,226
178,16,332
179,16,392
180,16,584
181,16,743
182,16,935
183,17,395
184,17,584
185,17,936
186,17,76
187,17,226
188,17,244
189,17,318
190,17,383
191,17,396
192,17,563
193,17,743
194,17,781
195,17,1080
196,17,338
197,17,424
198,17,8
199,17,82
200,17,986
201,17,83
202,17,596
203,17,669
204,17,894
205,18,109
206,18,880
207,18,584
208,18,801
209,18,936
210,18,318
211,18,429
212,18,736
213,18,743
214,18,781
215,18,1080
216,18,1147
217,18,263
218,18,207
219,18,266
220,18,1037
221,18,16
222,18,596
223,18,894
224,18,990
225,19,18
226,19,25
227,19,107
228,19,159
229,19,229
230,19,235
231,19,236
232,19,318
233,19,383
234,19,416
235,19,563
236,19,596
237,19,634
238,19,743
239,20,229
240,20,416
241,20,318
242,20,383
243,20,563
244,20,743
245,20,1080
246,20,235
247,20,595
248,20,207
249,20,189
250,20,980
251,20,16
252,20,596
253,20,1166
254,20,839
255,21,405
256,21,19
257,21,1037
258,21,129
259,21,596
260,21,880
261,21,679
262,21,1166
263,21,318
264,21,563
265,21,789
266,21,823
267,21,332
268,22,16
269,22,19
270,22,83
271,22,187
272,22,194
273,22,196
274,22,236
275,22,332
276,22,383
277,22,395
278,22,584
279,22,743
280,22,979
281,22,1166
282,23,23
283,23,395
284,23,584
285,23,76
286,23,318
287,23,383
288,23,484
289,23,563
290,23,743
291,23,1080
292,23,1147
293,23,1097
294,23,19
295,23,369
296,23,604
297,23,16
298,23,83
299,23,596
300,23,894
301,23,1166
302,24,23
303,24,584
304,24,448
305,24,679
306,24,1037
307,24,596
308,24,1084
309,24,317
310,24,797
311,24,1166
312,25,23
313,25,275
314,25,226
315,25,318
316,25,743
317,25,1080
318,25,1147
319,25,207
320,25,369
321,25,187
322,25,189
323,25,16
324,25,596
325,25,894
326,25,1166
327,26,23
328,26,194
329,26,236
330,26,270
331,26,369
332,26,743
333,26,979
334,27,23
335,27,392
336,27,395
337,27,668
338,27,743
339,27,919
340,27,935
341,27,1136
342,28,663
343,28,788
344,28,23
345,28,584
346,28,291
347,28,226
348,28,496
349,28,743
350,28,781
351,28,784
352,28,1084
353,28,514
354,28,1099
355,28,460
356,28,207
357,28,53
358,28,323
359,28,596
360,28,1166
361,28,56
362,29,405
363,29,23
364,29,76
365,29,226
366,29,484
367,29,743
368,29,1080
369,29,1147
370,29,207
371,29,679
372,29,789
373,29,1037
374,29,596
375,30,23
376,30,395
377,30,584
378,30,936
379,30,76
380,30,226
381,30,318
382,30,743
383,30,1080
384,30,935
385,30,1037
386,30,16
387,30,894
388,31,23
389,31,554
390,31,596
391,31,743
392,31,1166
393,32,23
394,32,207
395,32,323
396,32,378
397,32,406
398,32,508
399,32,596
400,32,743
401,32,788
402,32,1136
403,32,1168
404,33,23
405,33,281
406,33,76
407,33,284
408,33,318
409,33,383
410,33,662
411,33,563
412,33,686
413,33,743
414,33,748
415,33,1038
416,33,1080
417,33,134
418,33,263
419,33,558
420,33,189
421,33,16
422,33,82
423,33,83
424,33,270
425,33,332
426,33,596
427,33,1166
428,33,429
429,33,894
430,34,23
431,34,584
432,34,596
433,34,797
434,34,1085
435,34,1166
436,35,60
437,35,107
438,35,187
439,35,236
440,35,392
441,35,596
442,35,743
443,35,1168
444,36,395
445,36,584
446,36,416
447,36,936
448,36,76
449,36,226
450,36,284
451,36,318
452,36,383
453,36,396
454,36,496
455,36,563
456,36,743
457,36,781
458,36,904
459,36,1080
460,36,1089
461,36,338
462,36,424
463,36,514
464,36,785
465,36,935
466,36,522
467,36,82
468,36,83
469,36,596
470,36,669
471,37,28
472,37,107
473,37,236
474,37,263
475,37,275
476,37,420
477,37,558
478,37,584
479,37,669
480,37,979
481,38,281
482,38,936
483,38,284
484,38,318
485,38,383
486,38,484
487,38,563
488,38,743
489,38,1080
490,38,33
491,38,742
492,38,862
493,38,189
494,38,280
495,38,935
496,38,604
497,38,16
498,38,82
499,38,83
500,38,270
501,38,596
502,38,894
503,38,1166
504,38,55
505,38,839
506,39,281
507,39,284
508,39,318
509,39,396
510,39,484
511,39,563
512,39,743
513,39,1080
514,39,33
515,39,742
516,39,862
517,39,280
518,39,935
519,39,604
520,39,82
521,39,83
522,39,270
523,39,596
524,39,894
525,39,1166
526,40,16
527,40,83
528,40,107
529,40,194
530,40,236
531,40,270
532,40,677
533,40,935
534,40,979
535,40,991
536,40,1073
537,41,83
538,41,194
539,41,199
540,41,236
541,41,332
542,41,340
543,41,392
544,41,567
545,41,668
546,41,792
547,41,919
548,41,979
549,41,1166
550,42,41
551,42,82
552,42,83
553,42,194
554,42,323
555,42,332
556,42,340
557,42,395
558,42,668
559,42,935
560,43,16
561,43,137
562,43,194
563,43,199
564,43,226
565,43,399
566,43,596
567,43,668
568,43,743
569,43,792
570,43,935
571,43,1105
572,43,1168
573,44,50
574,44,226
575,44,677
576,44,1071
577,45,83
578,45,135
579,45,187
580,45,194
581,45,236
582,45,270
583,45,275
584,45,328
585,45,366
586,45,134
587,45,392
588,45,556
589,45,743
590,45,1147
591,46,23
592,46,54
593,46,107
594,46,280
595,46,282
596,46,736
597,46,743
598,46,934
599,46,1111
600,47,57
601,47,64
602,47,154
603,47,408
604,48,60
605,48,114
606,48,226
607,48,236
608,48,420
609,48,596
610,48,743
611,48,935
612,48,1073
613,48,1168
614,49,64
615,49,154
616,49,395
617,49,584
618,49,936
619,49,789
620,49,823
621,49,1037
622,49,16
623,49,291
624,49,679
625,49,362
626,49,698
627,49,596
628,50,64
629,50,406
630,50,596
631,50,1007
632,50,1085
633,51,936
634,51,76
635,51,226
636,51,318
637,51,743
638,51,1080
639,51,64
640,51,280
641,51,935
642,51,1037
643,51,16
644,51,83
645,51,270
646,51,596
647,51,894
648,52,405
649,52,64
650,52,880
651,52,584
652,52,207
653,52,679
654,52,1037
655,52,596
656,52,1084
657,53,194
658,53,263
659,53,327
660,53,596
661,53,797
662,53,997
663,53,1084
664,53,1166
665,54,68
666,54,83
667,54,136
668,54,226
669,54,318
670,54,340
671,54,514
672,54,563
673,54,584
674,54,743
675,54,927
676,54,960
677,54,596
678,54,979
679,55,68
680,55,83
681,55,136
682,55,226
683,55,318
684,55,340
685,55,514
686,55,563
687,55,584
688,55,743
689,55,927
690,55,960
691,55,596
692,55,979
693,56,405
694,56,69
695,56,789
696,56,797
697,56,1037
698,56,1100
699,56,596
700,56,880
701,56,679
702,56,823
703,56,1166
704,57,69
705,57,82
706,57,83
707,57,236
708,57,332
709,57,338
710,57,383
711,57,392
712,57,792
713,57,919
714,57,1168
715,58,69
716,58,82
717,58,83
718,58,107
719,58,194
720,58,236
721,58,383
722,58,392
723,58,668
724,58,743
725,58,919
726,59,60
727,59,69
728,59,406
729,59,508
730,59,567
731,59,668
732,59,1166
733,60,23
734,60,60
735,60,1136
736,60,743
737,60,226
738,60,508
739,60,30
740,60,584
741,60,811
742,60,207
743,60,448
744,60,596
745,60,392
746,60,1007
747,60,1168
748,61,107
749,61,236
750,61,280
751,61,668
752,62,82
753,62,132
754,62,202
755,62,420
756,62,584
757,62,861
758,62,979
759,63,114
760,63,152
761,63,153
762,63,318
763,63,668
764,63,743
765,63,792
766,63,919
767,63,935
768,63,1136
769,64,880
770,64,584
771,64,936
772,64,76
773,64,226
774,64,318
775,64,484
776,64,743
777,64,904
778,64,1080
779,64,1111
780,64,740
781,64,1097
782,64,1105
783,64,263
784,64,595
785,64,207
786,64,556
787,64,266
788,64,935
789,64,1037
790,64,77
791,64,16
792,64,114
793,64,596
794,64,894
795,64,1166
796,64,563
797,64,1089
798,64,182
799,64,82
800,64,83
801,64,332
802,65,82
803,65,320
804,65,395
805,65,596
806,66,395
807,66,584
808,66,936
809,66,318
810,66,743
811,66,1080
812,66,1105
813,66,338
814,66,263
815,66,595
816,66,189
817,66,280
818,66,823
819,66,935
820,66,980
821,66,82
822,66,1166
823,67,16
824,67,323
825,67,332
826,67,596
827,67,792
828,67,420
829,67,1166
830,68,16
831,68,383
832,68,392
833,68,584
834,68,669
835,68,743
836,68,979
837,69,16
838,69,23
839,69,82
840,69,83
841,69,194
842,69,263
843,69,584
844,69,596
845,69,723
846,69,743
847,69,792
848,69,935
849,69,979
850,70,60
851,70,194
852,70,200
853,70,226
854,70,236
855,70,331
856,70,332
857,70,486
858,70,935
859,70,1107
860,70,1166
861,71,82
862,71,83
863,71,137
864,71,207
865,71,369
866,71,395
867,71,584
868,71,743
869,71,919
870,71,927
871,71,935
872,71,979
873,71,1166
874,72,194
875,72,207
876,72,226
877,72,229
878,72,263
879,72,332
880,72,406
881,72,596
882,72,743
883,72,975
884,72,1078
885,72,1105
886,72,1168
887,73,83
888,73,85
889,73,194
890,73,368
891,73,392
892,73,584
893,73,596
894,73,919
895,73,935
896,73,1073
897,74,16
898,74,107
899,74,194
900,74,280
901,74,338
902,74,484
903,74,935
904,74,1073
905,74,1142
906,74,677
907,75,16
908,75,107
909,75,194
910,75,280
