id,food_no,ingre_no
1,1,3
2,1,442
3,1,574
4,1,779
5,1,784
6,2,8
7,2,81
8,2,105
9,2,231
10,2,363
11,2,390
12,2,586
13,2,920
14,2,963
15,2,1021
16,2,1146
17,3,866
18,3,574
19,3,276
20,3,286
21,3,921
22,3,76
23,3,313
24,3,390
25,3,476
26,3,553
27,3,731
28,3,1021
29,3,1062
30,3,301
31,3,418
32,3,1068
33,3,8
34,3,360
35,3,363
36,3,1137
37,3,392
38,3,920
39,3,16
40,3,81
41,3,265
42,3,586
43,3,880
44,3,1146
45,4,399
46,4,9
47,4,777
48,4,1020
49,4,1082
50,4,586
51,4,866
52,4,442
53,4,810
54,4,1146
55,4,1066
56,4,989
57,5,9
58,5,81
59,5,192
60,5,193
61,5,362
62,5,377
63,5,876
64,5,586
65,6,9
66,6,400
67,6,657
68,7,866
69,7,389
70,7,574
71,7,921
72,7,76
73,7,313
74,7,377
75,7,731
76,7,1062
77,7,332
78,7,9
79,7,16
80,7,81
81,7,586
82,7,880
83,7,1146
84,8,10
85,8,80
86,8,114
87,8,192
88,8,231
89,8,334
90,8,574
91,8,920
92,8,1055
93,9,574
94,9,921
95,9,11
96,9,76
97,9,222
98,9,313
99,9,731
100,9,1062
101,9,275
102,9,920
103,9,16
104,9,81
105,9,586
106,9,880
107,10,11
108,10,16
109,10,76
110,10,81
111,10,112
112,10,192
113,10,231
114,10,574
115,10,731
116,10,920
117,10,1055
118,11,11
119,11,16
120,11,60
121,11,81
122,11,136
123,11,190
124,11,192
125,11,326
126,11,400
127,11,657
128,11,711
129,11,920
130,12,52
131,12,79
132,12,230
133,12,332
134,12,360
135,12,504
136,12,512
137,12,594
138,12,16
139,12,731
140,12,1058
141,12,1131
142,13,76
143,13,185
144,13,230
145,13,231
146,13,313
147,13,315
148,13,322
149,13,323
150,13,386
151,13,553
152,13,574
153,13,731
154,13,882
155,13,904
156,13,16
157,13,586
158,13,963
159,14,192
160,14,215
161,14,323
162,14,554
163,14,574
164,14,731
165,14,963
166,14,1146
167,14,1071
168,15,152
169,15,209
170,15,657
171,15,866
172,15,904
173,16,16
174,16,23
175,16,192
176,16,207
177,16,222
178,16,326
179,16,386
180,16,574
181,16,731
182,16,920
183,17,389
184,17,574
185,17,921
186,17,76
187,17,222
188,17,239
189,17,313
190,17,377
191,17,390
192,17,553
193,17,731
194,17,769
195,17,1062
196,17,332
197,17,418
198,17,8
199,17,80
200,17,969
201,17,81
202,17,586
203,17,658
204,17,880
205,18,107
206,18,866
207,18,574
208,18,788
209,18,921
210,18,313
211,18,423
212,18,724
213,18,731
214,18,769
215,18,1062
216,18,1127
217,18,258
218,18,204
219,18,261
220,18,1020
221,18,16
222,18,586
223,18,880
224,18,973
225,19,18
226,19,25
227,19,105
228,19,157
229,19,224
230,19,230
231,19,231
232,19,313
233,19,377
234,19,410
235,19,553
236,19,586
237,19,624
238,19,731
239,20,224
240,20,410
241,20,313
242,20,377
243,20,553
244,20,731
245,20,1062
246,20,230
247,20,585
248,20,204
249,20,187
250,20,963
251,20,16
252,20,586
253,20,1146
254,20,825
255,21,399
256,21,19
257,21,1020
258,21,127
259,21,586
260,21,866
261,21,668
262,21,1146
263,21,313
264,21,553
265,21,777
266,21,810
267,21,326
268,22,16
269,22,19
270,22,81
271,22,185
272,22,192
273,22,193
274,22,231
275,22,326
276,22,377
277,22,389
278,22,574
279,22,731
280,22,962
281,22,1146
282,23,23
283,23,389
284,23,574
285,23,76
286,23,313
287,23,377
288,23,476
289,23,553
290,23,731
291,23,1062
292,23,1127
293,23,1079
294,23,19
295,23,363
296,23,594
297,23,16
298,23,81
299,23,586
300,23,880
301,23,1146
302,24,23
303,24,574
304,24,442
305,24,668
306,24,1020
307,24,586
308,24,1066
309,24,312
310,24,784
311,24,1146
312,25,23
313,25,270
314,25,222
315,25,313
316,25,731
317,25,1062
318,25,1127
319,25,204
320,25,363
321,25,185
322,25,187
323,25,16
324,25,586
325,25,880
326,25,1146
327,26,23
328,26,192
329,26,231
330,26,265
331,26,363
332,26,731
333,26,962
334,27,23
335,27,386
336,27,389
337,27,657
338,27,731
339,27,904
340,27,920
341,27,1118
342,28,652
343,28,776
344,28,23
345,28,574
346,28,286
347,28,222
348,28,487
349,28,731
350,28,769
351,28,772
352,28,1066
353,28,504
354,28,1081
355,28,453
356,28,204
357,28,53
358,28,318
359,28,586
360,28,1146
361,28,56
362,29,399
363,29,23
364,29,76
365,29,222
366,29,476
367,29,731
368,29,1062
369,29,1127
370,29,204
371,29,668
372,29,777
373,29,1020
374,29,586
375,30,23
376,30,389
377,30,574
378,30,921
379,30,76
380,30,222
381,30,313
382,30,731
383,30,1062
384,30,920
385,30,1020
386,30,16
387,30,880
388,31,23
389,31,544
390,31,586
391,31,731
392,31,1146
393,32,23
394,32,204
395,32,318
396,32,372
397,32,400
398,32,498
399,32,586
400,32,731
401,32,776
402,32,1118
403,32,1148
404,33,23
405,33,276
406,33,76
407,33,279
408,33,313
409,33,377
410,33,651
411,33,553
412,33,675
413,33,731
414,33,736
415,33,1021
416,33,1062
417,33,132
418,33,258
419,33,548
420,33,187
421,33,16
422,33,80
423,33,81
424,33,265
425,33,326
426,33,586
427,33,1146
428,33,423
429,33,880
430,34,23
431,34,574
432,34,586
433,34,784
434,34,1067
435,34,1146
436,35,60
437,35,105
438,35,185
439,35,231
440,35,386
441,35,586
442,35,731
443,35,1148
444,36,389
445,36,574
446,36,410
447,36,921
448,36,76
449,36,222
450,36,279
451,36,313
452,36,377
453,36,390
454,36,487
455,36,553
456,36,731
457,36,769
458,36,889
459,36,1062
460,36,1071
461,36,332
462,36,418
463,36,504
464,36,773
465,36,920
466,36,512
467,36,80
468,36,81
469,36,586
470,36,658
471,37,28
472,37,105
473,37,231
474,37,258
475,37,270
476,37,414
477,37,548
478,37,574
479,37,658
480,37,962
481,38,276
482,38,921
483,38,279
484,38,313
485,38,377
486,38,476
487,38,553
488,38,731
489,38,1062
490,38,33
491,38,730
492,38,848
493,38,187
494,38,275
495,38,920
496,38,594
497,38,16
498,38,80
499,38,81
500,38,265
501,38,586
502,38,880
503,38,1146
504,38,55
505,38,825
506,39,276
507,39,279
508,39,313
509,39,390
510,39,476
511,39,553
512,39,731
513,39,1062
514,39,33
515,39,730
516,39,848
517,39,275
518,39,920
519,39,594
520,39,80
521,39,81
522,39,265
523,39,586
524,39,880
525,39,1146
526,40,16
527,40,81
528,40,105
529,40,192
530,40,231
531,40,265
532,40,666
533,40,920
534,40,962
535,40,974
536,40,1055
537,41,81
538,41,192
539,41,196
540,41,231
541,41,326
542,41,334
543,41,386
544,41,557
545,41,657
546,41,779
547,41,904
548,41,962
549,41,1146
550,42,41
551,42,80
552,42,81
553,42,192
554,42,318
555,42,326
556,42,334
557,42,389
558,42,657
559,42,920
560,43,16
561,43,135
562,43,192
563,43,196
564,43,222
565,43,393
566,43,586
567,43,657
568,43,731
569,43,779
570,43,920
571,43,1087
572,43,1148
573,44,50
574,44,222
575,44,666
576,44,1053
577,45,81
578,45,133
579,45,185
580,45,192
581,45,231
582,45,265
583,45,270
584,45,322
585,45,360
586,45,132
587,45,386
588,45,546
589,45,731
590,45,1127
591,46,23
592,46,54
593,46,105
594,46,275
595,46,277
596,46,724
597,46,731
598,46,919
599,46,1093
600,47,57
601,47,64
602,47,152
603,47,402
604,48,60
605,48,112
606,48,222
607,48,231
608,48,414
609,48,586
610,48,731
611,48,920
612,48,1055
613,48,1148
614,49,64
615,49,152
616,49,389
617,49,574
618,49,921
619,49,777
620,49,810
621,49,1020
622,49,16
623,49,286
624,49,668
625,49,356
626,49,687
627,49,586
628,50,64
629,50,400
630,50,586
631,50,990
632,50,1067
633,51,921
634,51,76
635,51,222
636,51,313
637,51,731
638,51,1062
639,51,64
640,51,275
641,51,920
642,51,1020
643,51,16
644,51,81
645,51,265
646,51,586
647,51,880
648,52,399
649,52,64
650,52,866
651,52,574
652,52,204
653,52,668
654,52,1020
655,52,586
656,52,1066
657,53,192
658,53,258
659,53,321
660,53,586
661,53,784
662,53,980
663,53,1066
664,53,1146
665,54,68
666,54,81
667,54,134
668,54,222
669,54,313
670,54,334
671,54,504
672,54,553
673,54,574
674,54,731
675,54,912
676,54,943
677,54,586
678,54,962
679,55,68
680,55,81
681,55,134
682,55,222
683,55,313
684,55,334
685,55,504
686,55,553
687,55,574
688,55,731
689,55,912
690,55,943
691,55,586
692,55,962
693,56,399
694,56,69
695,56,777
696,56,784
697,56,1020
698,56,1082
699,56,586
700,56,866
701,56,668
702,56,810
703,56,1146
704,57,69
705,57,80
706,57,81
707,57,231
708,57,326
709,57,332
710,57,377
711,57,386
712,57,779
713,57,904
714,57,1148
715,58,69
716,58,80
717,58,81
718,58,105
719,58,192
720,58,231
721,58,377
722,58,386
723,58,657
724,58,731
725,58,904
726,59,60
727,59,69
728,59,400
729,59,498
730,59,557
731,59,657
732,59,1146
733,60,23
734,60,60
735,60,1118
736,60,731
737,60,222
738,60,498
739,60,30
740,60,574
741,60,798
742,60,204
743,60,442
744,60,586
745,60,386
746,60,990
747,60,1148
748,61,105
749,61,231
750,61,275
751,61,657
752,62,80
753,62,130
754,62,199
755,62,414
756,62,574
757,62,847
758,62,962
759,63,112
760,63,150
761,63,151
762,63,313
763,63,657
764,63,731
765,63,779
766,63,904
767,63,920
768,63,1118
769,64,866
770,64,574
771,64,921
772,64,76
773,64,222
774,64,313
775,64,476
776,64,731
777,64,889
778,64,1062
779,64,1093
780,64,728
781,64,1079
782,64,1087
783,64,258
784,64,585
785,64,204
786,64,546
787,64,261
788,64,920
789,64,1020
790,64,77
791,64,16
792,64,112
793,64,586
794,64,880
795,64,1146
796,64,553
797,64,1071
798,64,180
799,64,80
800,64,81
801,64,326
802,65,80
803,65,315
804,65,389
805,65,586
806,66,389
807,66,574
808,66,921
809,66,313
810,66,731
811,66,1062
812,66,1087
813,66,332
814,66,258
815,66,585
816,66,187
817,66,275
818,66,810
819,66,920
820,66,963
821,66,80
822,66,1146
823,67,16
824,67,318
825,67,326
826,67,586
827,67,779
828,67,414
829,67,1146
830,68,16
831,68,377
832,68,386
833,68,574
834,68,658
835,68,731
836,68,962
837,69,16
838,69,23
839,69,80
840,69,81
841,69,192
842,69,258
843,69,574
844,69,586
845,69,711
846,69,731
847,69,779
848,69,920
849,69,962
850,70,60
851,70,192
852,70,197
853,70,222
854,70,231
855,70,325
856,70,326
857,70,478
858,70,920
859,70,1089
860,70,1146
861,71,80
862,71,81
863,71,135
864,71,204
865,71,363
866,71,389
867,71,574
868,71,731
869,71,904
870,71,912
871,71,920
872,71,962
873,71,1146
874,72,192
875,72,204
876,72,222
877,72,224
878,72,258
879,72,326
880,72,400
881,72,586
882,72,731
883,72,958
884,72,1060
885,72,1087
886,72,1148
887,73,81
888,73,83
889,73,192
890,73,362
891,73,386
892,73,574
893,73,586
