food_no,food_name,food_dsc,food_star,food_review_count,food_class_no,food_img_url
1,가래떡,가래떡 : 멥쌀가루를 반죽하여 찐다음에 둥글려서 길고 가늘게 만든 흰떡,0,0,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTatpXDAER6CLib9JKTNf16C-I8ddOI3Q01xH91xq4a_1WFPIB7w1IP1ImFKiU&s
2,가오리찜,가오리찜 : 말려서 썰어 뼈를 빼낸 가오리를 양념장에 재운 후 통깨와 고명을 얹어 찜통에 찐 음식,0,0,16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQISS2SJGUPPYoEpGBzYuFbIyRsjrww9mW4F9l_xIjE4H3srgtWajpHyth7ZD4&s
3,가오리콩나물찜,가오리찜 : 말려서 썰어 뼈를 빼낸 가오리를 양념장에 재운 후 통깨와 고명을 얹어 찜통에 찐 음식,0,0,16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6Xg_3Zq-KcDc-GjPz0vVOD5_81A4lkOL5XUsuMPl4_v9gSnuq8rGossY8xA&s
4,가자미구이,가자미구이 : 바다 밑바닥에 붙어살며 몸이 납작한 가자미는 살이 부드럽고 식감이 쫄깃하며 맛이 담백하다.,0,0,17,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQP9vrZX32TdnHDKJyCWIxtSm19ZhwBjk8PpaiQO4aE2qYnbdKgUuMqx_51kyE&s
5,가자미식해,"가자미식해 : 가자미에 소금, 좁쌀밥, 고춧가루 등을 넣어 삭힌 함경도 지방의 향토음식",0,0,27,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2p_apg3IKpzntqyDfP3NhXjTyjBS9qFKVAlR2YEnn5P7ZjS9JxX_aV9BJHDo&s
6,가자미전,"가자미전 : 가자미에 소금, 후춧가루로 밑간을 한 후, 밀가루와 달걀옷을 입혀 팬에 구워낸 전이다.",0,0,26,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSasfNyz7hkec0slik6Qdx8MRPmShHmra3MKJxV5dxS4y8WJqim9M00VY9Tkw&s
7,가자미조림,가자미조림 : 손질한 가자미에 양념장을 얹어 무와 함께 담백하게 조린 음식,0,0,19,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi4n2eEipZIsZNU18j6mfCxfh27OUxUM0l5op_-pFv3x3NSxM6pYPE0btML-Y&s
8,가죽나물무침,가죽나물 : 참죽 새순 잎의 줄기를 꺽어 데쳐 햇볕에 말린 후 튀김기름에 살짝 볶고 갖은 양념을 한 나물,0,0,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyqmd038SUphFOn_bN9qZuZxrsbtcvbO_zfBQ09Iru__It6F_7z9D2uKFBC5w&s
9,가지나물,가지나물 : 가지를 찜통에 찐 후에 가늘게 찢어 갖은 양념에 무쳐 먹는 나물,0,0,23,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_qhqA03crsejNLfJxQm5RAiq4MpF7oYfj3HqkNk6Rk8fYhWFTusdLLFPxkA&s
10,가지볶음,"가지볶음 : 달구어진 팬에 기름을 두르고, 소금에 살짝 절인 가지와 파, 다진 마늘, 간장 양념을 함께 넣어 볶은 반찬이다.",0,0,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvBP1h4FazsVSjpmgeBmsp2fEFAzKOgQL9LAlta-uM2poqUyFDScLHoY1kcw&s
